tag,count
Single-player,5729
Family Sharing,5728
Steam Achievements,4334
Steam Cloud,3100
Steam Trading Cards,2586
Full controller support,2095
Multi-player,1694
Simulation,1465
Partial Controller Support,998
Co-op,960
PvP,843
Steam Leaderboards,765
Online PvP,702
Online Co-op,649
Remote Play Together,622
Remote Play on TV,534
Shared/Split Screen,507
Steam Workshop,462
Early Access,411
Stats,377
Shared/Split Screen PvP,322
Includes level editor,312
Shared/Split Screen Co-op,308
Cross-Platform Multiplayer,286
Remote Play on Tablet,259
Sports,230
Captions available,217
Racing,216
Tracked Controller Support,202
Remote Play on Phone,199
Massively Multiplayer,155
VR Only,144
In-App Purchases,144
Free To Play,119
LAN Co-op,92
VR Supported,89
MMO,84
LAN PvP,80
Valve Anti-Cheat enabled,55
Utilities,44
VR Support,40
Commentary available,38
HDR available,38
Design & Illustration,34
Animation & Modeling,23
Game Development,19
Video Production,16
Steam Turn Notifications,16
Education,15
Violent,14
Includes Source SDK,13
Audio Production,12
SteamVR Collectibles,12
Gore,11
Web Publishing,10
Steam Timeline,8
Software Training,7
Photo Editing,7
Nudity,6
Sexual Content,4
Movie,1
